  *** Project Runge-Kutt ***
  ****** Input  maximum steps i_max:
1000
   h= 5.00500482E-03     t_max=5.00000000        i_max= 1000
   p2= 7.00000000        Beta=1.00000000         Kappa=   6.00000000        x0=  0.100000001    
 _________________________________________________
     i             t               K(t)    (p2-Beta/Kappa*x)      x(t)
         357   1.78678584       24.6414299      0.108780384       41.3473167    
         358   1.79179084       24.7014904      0.106559753       41.3606415    
         359   1.79679585       24.7615509      0.104378700       41.3737259    
         360   1.80180085       24.8216114      0.102237701       41.3865738    
         361   1.80680585       24.8816719      0.100135803       41.3991852    
         362   1.81181085       24.9417305       9.80720520E-02   41.4115677    
         363   1.81681585       25.0017910       9.60454941E-02   41.4237251    
         364   1.82182086       25.0618515       9.40570831E-02   41.4356575    
         365   1.82682586       25.1219101       9.21044350E-02   41.4473724    
         366   1.83183086       25.1819706       9.01880264E-02   41.4588699    
         367   1.83683586       25.2420311       8.83069038E-02   41.4701576    
         368   1.84184086       25.3020916       8.64605904E-02   41.4812355    
         369   1.84684587       25.3621521       8.46486092E-02   41.4921074    
         370   1.85185087       25.4222107       8.28709602E-02   41.5027733    
         371   1.85685587       25.4822712       8.11262131E-02   41.5132408    
         372   1.86186087       25.5423317       7.94143677E-02   41.5235138    
         373   1.86686587       25.6023903       7.77344704E-02   41.5335922    
         374   1.87187088       25.6624508       7.60865211E-02   41.5434799    
         375   1.87687588       25.7225113       7.44695663E-02   41.5531807    
         376   1.88188088       25.7825718       7.28836060E-02   41.5626984    
         377   1.88688588       25.8426323       7.13276863E-02   41.5720329    
         378   1.89189088       25.9026909       6.98018074E-02   41.5811882    
         379   1.89689589       25.9627514       6.83050156E-02   41.5901680    
         380   1.90190089       26.0228119       6.68373108E-02   41.5989761    
         381   1.90690589       26.0828705       6.53972626E-02   41.6076164    
         382   1.91191089       26.1429310       6.39848709E-02   41.6160889    
         383   1.91691589       26.2029915       6.26001358E-02   41.6243973    
         384   1.92192090       26.2630520       6.12421036E-02   41.6325455    
         385   1.92692590       26.3231125       5.99107742E-02   41.6405334    
         386   1.93193090       26.3831711       5.86056709E-02   41.6483650    
         387   1.93693590       26.4432316       5.73258400E-02   41.6560440    
         388   1.94194090       26.5032921       5.60712814E-02   41.6635704    
         389   1.94694591       26.5633507       5.48410416E-02   41.6709518    
         390   1.95195091       26.6234112       5.36355972E-02   41.6781845    
         391   1.95695591       26.6834717       5.24539948E-02   41.6852760    
         392   1.96196091       26.7435322       5.12952805E-02   41.6922264    
         393   1.96696591       26.8035927       5.01599312E-02   41.6990395    
         394   1.97197092       26.8636513       4.90474701E-02   41.7057152    
         395   1.97697592       26.9237118       4.79569435E-02   41.7122574    
         396   1.98198092       26.9837723       4.68888283E-02   41.7186661    
         397   1.98698592       27.0438309       4.58416939E-02   41.7249489    
         398   1.99199092       27.1038914       4.48160172E-02   41.7311020    
         399   1.99699593       27.1639519       4.38108444E-02   41.7371330    
         400   2.00200105       27.2240143       4.28261757E-02   41.7430420    
         401   2.00700617       27.2840748       4.18615341E-02   41.7488289    
         402   2.01201129       27.3441353       4.09169197E-02   41.7544975    
         403   2.01701641       27.4041977       3.99913788E-02   41.7600517    
         404   2.02202153       27.4642601       3.90844345E-02   41.7654915    
         405   2.02702665       27.5243206       3.81965637E-02   41.7708206    
         406   2.03203177       27.5843811       3.73268127E-02   41.7760391    
         407   2.03703690       27.6444435       3.64747047E-02   41.7811508    
         408   2.04204202       27.7045059       3.56407166E-02   41.7861557    
         409   2.04704714       27.7645664       3.48234177E-02   41.7910576    
         410   2.05205226       27.8246269       3.40237617E-02   41.7958565    
         411   2.05705738       27.8846893       3.32403183E-02   41.8005562    
         412   2.06206250       27.9447517       3.24735641E-02   41.8051567    
         413   2.06706762       28.0048122       3.17234993E-02   41.8096581    
         414   2.07207274       28.0648727       3.09886932E-02   41.8140678    
         415   2.07707787       28.1249352       3.02696228E-02   41.8183823    
         416   2.08208299       28.1849976       2.95658112E-02   41.8226051    
         417   2.08708811       28.2450581       2.88763046E-02   41.8267403    
         418   2.09209323       28.3051186       2.82020569E-02   41.8307877    
         419   2.09709835       28.3651810       2.75421143E-02   41.8347473    
         420   2.10210347       28.4252434       2.68959999E-02   41.8386230    
         421   2.10710859       28.4853039       2.62641907E-02   41.8424149    
         422   2.11211371       28.5453644       2.56452560E-02   41.8461266    
         423   2.11711884       28.6054268       2.50401497E-02   41.8497581    
         424   2.12212396       28.6654892       2.44483948E-02   41.8533096    
         425   2.12712908       28.7255497       2.38690376E-02   41.8567848    
         426   2.13213420       28.7856102       2.33020782E-02   41.8601875    
         427   2.13713932       28.8456726       2.27475166E-02   41.8635139    
         428   2.14214444       28.9057350       2.22053528E-02   41.8667679    
         429   2.14714956       28.9657955       2.16751099E-02   41.8699493    
         430   2.15215468       29.0258560       2.11563110E-02   41.8730621    
         431   2.15715981       29.0859184       2.06489563E-02   41.8761063    
         432   2.16216493       29.1459808       2.01520920E-02   41.8790855    
         433   2.16717005       29.2060413       1.96666718E-02   41.8820000    
         434   2.17217517       29.2661018       1.91917419E-02   41.8848495    
         435   2.17718029       29.3261642       1.87273026E-02   41.8876343    
         436   2.18218541       29.3862267       1.82733536E-02   41.8903580    
         437   2.18719053       29.4462872       1.78298950E-02   41.8930206    
         438   2.19219565       29.5063477       1.73959732E-02   41.8956223    
         439   2.19720078       29.5664101       1.69720650E-02   41.8981667    
         440   2.20220590       29.6264725       1.65576935E-02   41.9006538    
         441   2.20721102       29.6865330       1.61519051E-02   41.9030876    
         442   2.21221614       29.7465935       1.57556534E-02   41.9054642    
         443   2.21722126       29.8066559       1.53684616E-02   41.9077873    
         444   2.22222638       29.8667183       1.49903297E-02   41.9100571    
         445   2.22723150       29.9267788       1.46203041E-02   41.9122772    
         446   2.23223662       29.9868393       1.42583847E-02   41.9144478    
         447   2.23724174       30.0469017       1.39050484E-02   41.9165688    
         448   2.24224687       30.1069641       1.35598183E-02   41.9186401    
         449   2.24725199       30.1670246       1.32226944E-02   41.9206619    
         450   2.25225711       30.2270851       1.28936768E-02   41.9226379    
         451   2.25726223       30.2871475       1.25718117E-02   41.9245682    
         452   2.26226735       30.3472099       1.22570992E-02   41.9264565    
         453   2.26727247       30.4072704       1.19500160E-02   41.9282990    
         454   2.27227759       30.4673309       1.16500854E-02   41.9300995    
         455   2.27728271       30.5273933       1.13568306E-02   41.9318581    
         456   2.28228784       30.5874557       1.10707283E-02   41.9335747    
         457   2.28729296       30.6475163       1.07908249E-02   41.9352531    
         458   2.29229808       30.7075768       1.05175972E-02   41.9368935    
         459   2.29730320       30.7676392       1.02505684E-02   41.9384956    
         460   2.30230832       30.8277016       9.98973846E-03   41.9400597    
         461   2.30731344       30.8877621       9.73558426E-03   41.9415855    
         462   2.31231856       30.9478226       9.48715210E-03   41.9430771    
         463   2.31732368       31.0078850       9.24491882E-03   41.9445305    
         464   2.32232881       31.0679474       9.00840759E-03   41.9459496    
         465   2.32733393       31.1280079       8.77761841E-03   41.9473343    
